VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2019-09-01 00:33:09,2019-09-01 00:37:45,N,1,152,116,1,.80,5.5,0.5,0.5,1.35,0,,0.3,8.15,1,1,0
2,2019-09-01 00:26:54,2019-09-01 00:41:23,N,1,223,145,1,2.27,11.5,0.5,0.5,2,0,,0.3,14.8,1,1,0
1,2019-09-01 00:02:55,2019-09-01 00:11:03,N,1,7,226,1,1.60,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2019-09-01 01:01:30,2019-09-01 01:15:52,N,1,255,170,1,4.12,14.5,0.5,0.5,2,5.76,,0.3,26.31,1,1,2.75
2,2019-09-01 00:17:55,2019-09-01 00:29:42,N,1,166,263,5,2.67,11,0.5,0.5,3,0,,0.3,18.05,1,1,2.75
2,2019-09-01 00:51:17,2019-09-01 01:06:36,N,1,166,74,2,2.58,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1,0
2,2019-09-01 00:40:55,2019-09-01 00:48:35,N,1,95,160,1,2.24,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2019-09-01 00:13:52,2019-09-01 00:21:47,N,1,75,151,1,2.04,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
2,2019-09-01 00:37:24,2019-09-01 01:02:31,N,1,41,182,1,7.77,26,0.5,0.5,5.46,0,,0.3,32.76,1,1,0
2,2019-09-01 00:22:15,2019-09-01 00:29:52,N,1,74,260,1,4.99,15,0.5,0.5,2.58,6.12,,0.3,25,1,1,0
